"COUNTRY","Country","INDICATOR","Indicator","EDUCATION_LEV","Education level","REF_SECTOR","Reference sector","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2018","2018",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2019","2019",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2020","2020",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_T","All public and private educational institutions","2021","2021",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2013","2013",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2014","2014",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2015","2015",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2016","2016",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2017","2017",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2018","2018",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2019","2019",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2020","2020",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PUB","Public educational institutions","2021","2021",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2013","2013",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2014","2014",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2015","2015",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2016","2016",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2017","2017",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2018","2018",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2019","2019",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2020","2020",,"o","Missing value"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_0","Early childhood education","INST_PRIV","All private educational institutions","2021","2021",,"o","Missing value"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2013","2013",14.844,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2014","2014",15.612,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2015","2015",15.433,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2016","2016",15.168,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2017","2017",15.124,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2018","2018",14.926,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2019","2019",15.142,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2020","2020",14.844,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2021","2021",14.53,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2013","2013",14.848,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2014","2014",15.368,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2015","2015",15.31,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2016","2016",15.035,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2017","2017",15.05,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2018","2018",14.838,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2019","2019",15.275,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2020","2020",14.848,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2021","2021",14.435,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2013","2013",14.834,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2014","2014",16.186,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2015","2015",15.72,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2016","2016",15.488,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2017","2017",15.303,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2018","2018",15.139,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2019","2019",14.835,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2020","2020",14.834,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2021","2021",14.755,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2013","2013",23.725,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2014","2014",23.859,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2015","2015",23.821,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2016","2016",23.669,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2017","2017",23.613,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2018","2018",23.471,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2019","2019",23.431,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2020","2020",23.581,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_T","All public and private educational institutions","2021","2021",23.411,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2013","2013",23.218,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2014","2014",23.461,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2015","2015",23.474,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2016","2016",23.404,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2017","2017",23.389,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2018","2018",23.34,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2019","2019",23.291,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2020","2020",23.525,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PUB","Public educational institutions","2021","2021",23.051,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2013","2013",24.933,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2014","2014",24.798,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2015","2015",24.644,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2016","2016",24.55,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2017","2017",24.349,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2018","2018",24.069,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2019","2019",24.071,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2020","2020",23.832,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_1","Primary education","INST_PRIV","All private educational institutions","2021","2021",24.639,,
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2013","2013",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2014","2014",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2015","2015",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2016","2016",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2017","2017",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2018","2018",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2019","2019",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2020","2020",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2021","2021",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2013","2013",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2014","2014",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2015","2015",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2016","2016",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2017","2017",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2018","2018",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2019","2019",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2020","2020",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2021","2021",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2013","2013",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2014","2014",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2015","2015",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2016","2016",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2017","2017",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2018","2018",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2019","2019",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2020","2020",,"k","Data included in another category"
"AUS","Australia","PERS_RATIO_INST","Ratio of students to teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2021","2021",,"k","Data included in another category"
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2013","2013",23.715,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2014","2014",23.785,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2015","2015",22.863,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2016","2016",22.158,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2017","2017",22.199,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2018","2018",22.207,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2019","2019",22.272,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2020","2020",22.81,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2021","2021",22.406,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2013","2013",22.912,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2014","2014",23.034,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2015","2015",21.754,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2016","2016",21.458,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2017","2017",21.422,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2018","2018",21.417,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2019","2019",21.552,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2020","2020",22.179,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PUB","Public educational institutions","2021","2021",21.624,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2013","2013",25.013,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2014","2014",24.967,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2015","2015",23.929,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2016","2016",23.741,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2017","2017",23.923,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2018","2018",24.1,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2019","2019",24.018,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2020","2020",24.251,,
"AUS","Australia","PERS_AVG_CLASS","Average class size","ISCED11_2","Lower secondary education","INST_PRIV","All private educational institutions","2021","2021",23.632,,
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2013","2013",,"m","Missing value; data cannot exist"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2014","2014",,"m","Missing value; data cannot exist"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2015","2015",,"m","Missing value; data cannot exist"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2016","2016",,"m","Missing value; data cannot exist"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2017","2017",,"m","Missing value; data cannot exist"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2018","2018",,"m","Missing value; data cannot exist"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2019","2019",,"m","Missing value; data cannot exist"
"AUS","Australia","PERS_RATIO_MANA","Ratio of students to total teaching staff by type of institutions","ISCED11_2","Lower secondary education","INST_T","All public and private educational institutions","2020","2020",,"m","Missing value; data cannot exist"
