"COUNTRY","Country","ISC11","ISC11","REF_SECTOR","REF_SECTOR","COUNTERPART_SECTOR","COUNTERPART_SECTOR","EXPENDITURE_TYPE","EXPENDITURE_TYPE","UNIT_MEASURE","UNIT_MEASURE","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"DEU","Germany","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2020","2020",65118.826,,
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2012","2012",,"m","Missing data"
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2013","2013",,"m","Missing data"
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2014","2014",,"m","Missing data"
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2015","2015",,"m","Missing data"
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2016","2016",3487.6586,,
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2017","2017",3658.2406,,
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2018","2018",3839.2112,,
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2019","2019",4030.151,,
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2020","2020",4194.8986,,
"COL","Colombia","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2012","2012",10783.215,,
"COL","Colombia","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2013","2013",12330.056,,
"COL","Colombia","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2014","2014",12549.172,,
"COL","Colombia","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2015","2015",13205.643,,
"COL","Colombia","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2016","2016",14533.133,,
"COL","Colombia","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2017","2017",14076.255,,
"COL","Colombia","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2018","2018",,"m","Missing data"
"COL","Colombia","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2019","2019",,"m","Missing data"
"COL","Colombia","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2020","2020",,"m","Missing data"
"BEL","Belgium","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2012","2012",4553.8866,,
"BEL","Belgium","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2013","2013",4670.3165,,
"BEL","Belgium","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2014","2014",4793.771,,
"BEL","Belgium","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2015","2015",4848.3058,,
"BEL","Belgium","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2016","2016",5143.7281,,
"BEL","Belgium","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2017","2017",5379.1796,,
"BEL","Belgium","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2018","2018",5638.868,,
"BEL","Belgium","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2019","2019",6006.7704,,
"BEL","Belgium","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2020","2020",6449.2723,,
"DNK","Denmark","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2012","2012",,"m","Missing data"
"DNK","Denmark","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2013","2013",,"m","Missing data"
"DNK","Denmark","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2014","2014",,"m","Missing data"
"DNK","Denmark","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2015","2015",,"m","Missing data"
"DNK","Denmark","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2016","2016",5590.3509,,
"DNK","Denmark","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2017","2017",5864.4394,,
"DNK","Denmark","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2018","2018",6030.4946,,
"DNK","Denmark","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2019","2019",6209.2477,,
"DNK","Denmark","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2020","2020",6399.723,,
"ESP","Spain","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2012","2012",14184.7,,
"ESP","Spain","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2013","2013",13970.667,,
"ESP","Spain","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2014","2014",14221.277,,
"ESP","Spain","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2015","2015",14724.369,,
"ESP","Spain","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2016","2016",15527.713,,
"ESP","Spain","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2017","2017",16276.174,,
"ESP","Spain","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2018","2018",16673.222,,
"ESP","Spain","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2019","2019",18202.165,,
"ESP","Spain","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2020","2020",18853.914,,
"AUT","Austria","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2012","2012",,"m","Missing data"
"AUT","Austria","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2013","2013",,"m","Missing data"
"AUT","Austria","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2014","2014",,"m","Missing data"
"AUT","Austria","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2015","2015",,"m","Missing data"
"AUT","Austria","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2016","2016",,"m","Missing data"
"AUT","Austria","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2017","2017",6005.1023,,
"AUT","Austria","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2018","2018",5964.2103,,
"AUT","Austria","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2019","2019",5986.0613,,
"AUT","Austria","L2","Lower secondary education (ISCED2011 level 2)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2020","2020",5977.7886,,
"CAN","Canada","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2012","2012",21567.395,,
"CAN","Canada","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2013","2013",22190.796,,
"CAN","Canada","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2014","2014",22645.546,,
"CAN","Canada","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2015","2015",22939.999,,
"CAN","Canada","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2016","2016",24439.9,,
"CAN","Canada","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2017","2017",23199.02,,
"CAN","Canada","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2018","2018",24216.94,,
"CAN","Canada","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2019","2019",24663.823,,
"CAN","Canada","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2020","2020",,"m","Missing data"
"DEU","Germany","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2012","2012",35467.008,,
"DEU","Germany","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2013","2013",36211.356,,
"DEU","Germany","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2014","2014",37491.459,,
"DEU","Germany","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2015","2015",37773.321,,
"DEU","Germany","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2016","2016",40124.949,,
"DEU","Germany","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2017","2017",42086.597,,
"DEU","Germany","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2018","2018",43532.603,,
"DEU","Germany","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2019","2019",45193.408,"w","Includes data from another category"
"DEU","Germany","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2020","2020",46895.339,"w","Includes data from another category"
"DEU","Germany","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2012","2012",23691.561,,
"DEU","Germany","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2013","2013",24597.138,,
"DEU","Germany","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2014","2014",25752.112,,
"DEU","Germany","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2015","2015",26094.717,,
"DEU","Germany","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2016","2016",28047.634,,
"DEU","Germany","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2017","2017",29591.623,,
"DEU","Germany","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2018","2018",31635.786,,
"DEU","Germany","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2019","2019",34248.429,,
"DEU","Germany","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2020","2020",36410.034,,
"AUS","Australia","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2012","2012",8470.8899,"b","Series break"
"AUS","Australia","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2013","2013",9057.0136,"b","Series break"
"AUS","Australia","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2014","2014",9240.5578,"b","Series break"
"AUS","Australia","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2015","2015",8577.2812,"b","Series break"
"AUS","Australia","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2016","2016",,"m","Missing data"
"AUS","Australia","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2017","2017",,"m","Missing data"
"AUS","Australia","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2018","2018",,"m","Missing data"
"AUS","Australia","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2019","2019",,"m","Missing data"
"AUS","Australia","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2020","2020",,"m","Missing data"
"ESP","Spain","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2012","2012",13935.37,,
"ESP","Spain","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2013","2013",14744.007,"w","Includes data from another category"
"ESP","Spain","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2014","2014",14858.574,"w","Includes data from another category"
"ESP","Spain","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2015","2015",15366.154,"w","Includes data from another category"
"ESP","Spain","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2016","2016",16563.688,,
"ESP","Spain","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2017","2017",17322.209,"w","Includes data from another category"
"ESP","Spain","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2018","2018",18476.328,"w","Includes data from another category"
"ESP","Spain","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2019","2019",20019.501,"w","Includes data from another category"
"ESP","Spain","L3","Upper secondary education (ISCED2011 level 3)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2020","2020",20438.799,"w","Includes data from another category"
"BRA","Brazil","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2012","2012",,"m","Missing data"
"BRA","Brazil","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2013","2013",,"m","Missing data"
"BRA","Brazil","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2014","2014",,"m","Missing data"
"BRA","Brazil","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2015","2015",,"m","Missing data"
"BRA","Brazil","L1","Primary education (ISCED2011 level 1)","T","All sectors","T","All sectors","T","All expenditure types","USD_PPP","USD Purchasing Power Parity","FIN_EXP_SOURCE","Expenditure by source","2016","2016",,"m","Missing data"
