"COUNTRY","Country","ISC11A","ISCED 2011 A education level","SEX","Gender","AGE","Age","FIELD","Field","MEASURE","Measure","INDICATOR","INDICATOR","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","L5T8","Tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",84.024467,,
"EST","Estonia","L2_T_SC3T4","Lower secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",60.583332,,
"FIN","Finland","L2_T_SC3T4","Lower secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",50.980392,,
"SAU","Saudi Arabia","L2_T_SC2","Completion of intermediate lower secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2020","2020",,"z","Not applicable"
"RUS","Russia","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2018","2018",73.733673,,
"ISL","Iceland","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",88.261902,,
"NOR","Norway","L3","Upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",75.968994,,
"MEX","Mexico","L5T8","Tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",73.05407,,
"SWE","Sweden","L2_T_SC3T4","Lower secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",54.596947,,
"FRA","France","L0T2","Below upper secondary education","M","Men","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",61.592289,,
"SAU","Saudi Arabia","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2020","2020",97.672699,,
"IDN","Indonesia","L3T4","Upper secondary or post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",50.851288,,
"NZL","New Zealand","L2_T_SC2","Completion of intermediate lower secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"z","Not applicable"
"CRI","Costa Rica","L3","Upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",55.713974,,
"MEX","Mexico","L1_T_SC3T4","Primary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",43.22982,,
"SVK","Slovak Republic","L5T8","Tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",87.746704,,
"E23","European Union 23 members in OECD","L1_T_SC3T4","Primary education","M","Men","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year",,,"0","Units",,,52.849782,,
"DEU","Germany","L3T4","Upper secondary or post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",79.804932,,
"SVN","Slovenia","L0","Less than primary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",12.4015,"r","Data below a reliability threshold"
"LVA","Latvia","L4","Post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",73.228706,,
"DNK","Denmark","L3T4","Upper secondary or post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",79.099365,,
"RUS","Russia","L2_T_SC2","Completion of intermediate lower secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"z","Not applicable"
"SVN","Slovenia","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",88.887833,,
"IDN","Indonesia","L8","Doctoral or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"m","Missing data"
"E23","European Union 23 members in OECD","L5T8","Tertiary education","M","Men","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year",,,"0","Units",,,90.651611,,
"CHE","Switzerland","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"x","Data included in another category"
"CHL","Chile","L2_T_SC2","Completion of intermediate lower secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2020","2020",,"z","Not applicable"
"EST","Estonia","L4","Post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",82.318855,,
"HUN","Hungary","L0","Less than primary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",28.859636,,
"LUX","Luxembourg","L0T2","Below upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",56.571838,,
"ISR","Israel","L1_T_SC3T4","Primary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",25.390057,,
"CRI","Costa Rica","L0","Less than primary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",30.418806,,
"CHL","Chile","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2020","2020",66.446541,,
"GRC","Greece","L0T2","Below upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",38.522686,,
"SVK","Slovak Republic","L1_T_SC3T4","Primary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"c","Data below the publication limit"
"GRC","Greece","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",59.762085,,
"GRC","Greece","L4","Post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",62.276329,,
"IRL","Ireland","L7","Master’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",87.979637,,
"ESP","Spain","L5T8","Tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",80.30304,,
"ZAF","South Africa","L3T4","Upper secondary or post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",49.281841,,
"SAU","Saudi Arabia","L5T8","Tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2020","2020",98.710106,,
"CAN","Canada","L2_T_SC2","Completion of intermediate lower secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"z","Not applicable"
"JPN","Japan","L3T4","Upper secondary or post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"m","Missing data"
"SVK","Slovak Republic","L3","Upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",75.588661,,
"RUS","Russia","L3","Upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2018","2018",59.101192,,
"FIN","Finland","L2_T_SC2","Completion of intermediate lower secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"z","Not applicable"
"NOR","Norway","L8","Doctoral or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"m","Missing data"
"SVN","Slovenia","L7","Master’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",93.274803,,
"ESP","Spain","L0T2","Below upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",48.291039,,
"CZE","Czechia","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",87.569862,,
"CHL","Chile","L8","Doctoral or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2020","2020",,"x","Data included in another category"
"SAU","Saudi Arabia","L0T2","Below upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2020","2020",98.153374,,
"E22","European Union 22 members in OECD","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year",,,"0","Units",,,83.327446,,
"NZL","New Zealand","L3T4","Upper secondary or post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",76.67382,,
"FIN","Finland","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",83.333336,,
"CZE","Czechia","L2_T_SC3T4","Lower secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",49.772518,,
"CHL","Chile","L3","Upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2020","2020",51.398422,,
"AUS","Australia","L2_T_SC2","Completion of intermediate lower secondary programmes","M","Men","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"z","Not applicable"
"SWE","Sweden","L4","Post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",78.472221,,
"OAVG","OECD - Average","L5T8","Tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year",,,"0","Units",,,83.04575,,
"ITA","Italy","L2_T_SC3T4","Lower secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",39.809723,,
"POL","Poland","L1_T_SC3T4","Primary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",30.555555,,
"COL","Colombia","L3T4","Upper secondary or post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",54.837509,,
"GBR","United Kingdom","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",77.055809,,
"DEU","Germany","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",84.445778,,
"IND","India","L3_T_SC2","Completion of intermediate upper secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"z","Not applicable"
"CAN","Canada","L3","Upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",65.176224,,
"G20","G20","L2_T_SC2","Completion of intermediate lower secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year",,,"0","Units",,,,"m","Missing data"
"IND","India","L5T8","Tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",31.570744,,
"GBR","United Kingdom","L4","Post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"z","Not applicable"
"CAN","Canada","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",77.799675,,
"BRA","Brazil","L1_T_SC3T4","Primary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",41.513554,,
"G20","G20","L5T8","Tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year",,,"0","Units",,,74.846398,,
"FIN","Finland","L0T2","Below upper secondary education","M","Men","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",62.234043,,
"FIN","Finland","L0","Less than primary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"x","Data included in another category"
"CRI","Costa Rica","L3T4","Upper secondary or post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",55.512791,,
"FIN","Finland","L3T4","Upper secondary or post-secondary non-tertiary education","M","Men","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",80.02755,,
"E22","European Union 22 members in OECD","L2_T_SC3T4","Lower secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year",,,"0","Units",,,50.895176,,
"CHE","Switzerland","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",84.052322,"w","Includes data from another category"
"PRT","Portugal","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",87.236023,,
"SVK","Slovak Republic","L8","Doctoral or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",88.339897,,
"CZE","Czechia","L0T2","Below upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",48.595352,,
"E22","European Union 22 members in OECD","L3_T_SC2","Completion of intermediate upper secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year",,,"0","Units",,,,"m","Missing data"
"MEX","Mexico","L3","Upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",55.676456,,
"AUS","Australia","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",83.227684,,
"OAVG","OECD - Average","L2_T_SC2","Completion of intermediate lower secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year",,,"0","Units",,,,"m","Missing data"
"ZAF","South Africa","L0","Less than primary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",33.572308,,
"DEU","Germany","L3_T_SC2","Completion of intermediate upper secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"z","Not applicable"
"LUX","Luxembourg","L7","Master’s or equivalent education","M","Men","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",90.80658,,
"ARG","Argentina","L4","Post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"z","Not applicable"
"ISR","Israel","L0","Less than primary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",54.206078,,
"SVN","Slovenia","L0T2","Below upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",40.753021,,
"LVA","Latvia","L3","Upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",70.529831,,
"CHE","Switzerland","L7","Master’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",85.056671,"w","Includes data from another category"
"ITA","Italy","L3_T_SC2","Completion of intermediate upper secondary programmes","M","Men","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"z","Not applicable"
"SVK","Slovak Republic","L2_T_SC3T4","Lower secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",29.802927,,
"TUR","Türkiye","L3T4","Upper secondary or post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",36.434315,,
"ISL","Iceland","L2_T_SC2","Completion of intermediate lower secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",,"z","Not applicable"
"FIN","Finland","L5","Short-cycle tertiary education","M","Men","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",83.333336,,
"DNK","Denmark","L4","Post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2022","2022",87.33049,,
